Topics;Alpha;Beta;Word Ratio;Sumprob;Energy;Shannon Entropy;Free Energy;Renyi Entropy
100;0,1;0,1;0,05577998446688117;0,7318600552182627;0,3121659646941341;-2,8863401752539484;288,94618349008897;2,918648318081707
99;0,1;0,1;0,05632940970786305;0,7378787538590933;0,3039757580426021;-2,8765385053091355;285,08128778364704;2,9089927324861944
98;0,1;0,1;0,05686910290578009;0,7428971390856375;0,2971976838404907;-2,867003092259799;281,26350072530073;2,899623718817533
97;0,1;0,1;0,057433649676698374;0,7478488433460041;0,2905544025170239;-2,857124916121694;277,43167126632136;2,889913242357514
96;0,1;0,1;0,0580105357076815;0,7527480645305288;0,28402468282183413;-2,8471306347996657;273,60856562358975;2,8800901644588395
95;0,1;0,1;0,05856452959759879;0,7568136133456652;0,27863827337022434;-2,837626062634642;269,85311422366124;2,8707778108900133
94;0,1;0,1;0,05916099912419649;0,7617483858095528;0,2721389801739589;-2,827492752773079;266,05645774084337;2,8608221262456275
93;0,1;0,1;0,0597708924623811;0,7667938116132503;0,2655373382484687;-2,81723648464659;262,26853041038135;2,8507448957650148
92;0,1;0,1;0,060359070714282266;0,7704824781276409;0,26073836539210776;-2,807444040921974;258,5455901302137;2,84116033110125
91;0,1;0,1;0,06092237951774177;0,7735209007792764;0,25680258828782554;-2,7981546920045632;254,8888795607031;2,8320986617855897
90;0,1;0,1;0,061522245645179184;0,776925484622953;0,2524108345994825;-2,788356451765988;251,2044914935384;2,822522376331892
89;0,1;0,1;0,06161823682894994;0,7762519103133934;0,2532781847862453;-2,786797399839514;248,278246770503;2,8213437133011703
88;0,1;0,1;0,06228692393814995;0,7798410830982786;0,24866511967382657;-2,7760037638516586;244,5369963386198;2,8107700728576988
87;0,1;0,1;0,06293527484565717;0,7829666677387528;0,24466515383519538;-2,7656484641129513;240,85608153166197;2,800652110833279
86;0,1;0,1;0,0635935431766518;0,7863997365273279;0,24029004518569638;-2,7552433361694946;237,19121695576223;2,7904849053619087
85;0,1;0,1;0,06431102786171608;0,791193416035124;0,23421282020077108;-2,7440241560410557;233,47626608369052;2,779479358139173
84;0,1;0,1;0,06497426996983194;0,7921764130250473;0,23297116825291606;-2,7337639340724245;229,86914163033657;2,7695077304859828
83;0,1;0,1;0,0656354475931018;0,7950464172734573;0,2293547795247375;-2,723639369322856;226,2914224333218;2,75965149308929
82;0,1;0,1;0,06629651479028936;0,7973672356539969;0,2264399338507191;-2,713617950437648;222,74311186973785;2,749914961354788
81;0,1;0,1;0,06694787912658395;0,7998979295553891;0,22327114751002178;-2,7038408858144813;219,234382898483;2,7404297862310374
80;0,1;0,1;0,06773271940530345;0,8041016854413618;0,21802954337083252;-2,692185915885076;215,59290281417694;2,7290240862554045
79;0,1;0,1;0,06847422920760027;0,8063967826922905;0,21517937138989343;-2,681297820448373;212,03770718681136;2,7184321434206584
78;0,1;0,1;0,06928880505935871;0,8106725882214536;0,20989102004137675;-2,6694719289907773;208,428701481322;2,706866253004182
77;0,1;0,1;0,07008923618265679;0,8135870436237277;0,20630235912418426;-2,6579860461943317;204,87122791608772;2,69567405152747
76;0,1;0,1;0,07082021874835763;0,8157947318140594;0,20359250981251922;-2,647610743509622;201,4220090165438;2,6856267868872505
75;0,1;0,1;0,07076962905432893;0,8147399962256034;0,20488623967601802;-2,64832533847482;198,82928662528752;2,6868822516930746
74;0,1;0,1;0,07160078085408164;0,8170134308958655;0,2020997449722326;-2,6366492992917414;195,3141478925611;2,675536272500837
73;0,1;0,1;0,07228447797625652;0,8183291441729572;0,20049064657164445;-2,62714586199151;191,98213857195185;2,6664185912771092
72;0,1;0,1;0,0721619697474019;0,8176990879394341;0,20126087321236436;-2,628842106657393;189,47789255254466;2,668702712007671
71;0,1;0,1;0,07222822120786407;0,8167167940319038;0,20246288554794753;-2,627924434000086;186,78509769955406;2,668358538565058
70;0,1;0,1;0,07229478055507124;0,8154249233652265;0,20404592324950693;-2,6270033439161398;184,0942799973793;2,6680330434402797
69;0,1;0,1;0,0732163043076265;0,8187794141057075;0,19994056705269356;-2,614337146373965;180,58920366685626;2,6557235833361217
